source_key	bacterium	strain	query	candidate_rank	assembly_uid	assembly_accession	assembly_name	assembly_level	organism	ftp_path	reported_strain	review_status	notes
Latka2021_K23Klebsiella	Klebsiella pneumoniae	KPi1748	"""Klebsiella pneumoniae""[Organism] AND ""KPi1748""[All Fields]"	0								no_candidate	
Latka2021_K23Klebsiella	Klebsiella pneumoniae	KPi3014	"""Klebsiella pneumoniae""[Organism] AND ""KPi3014""[All Fields]"	0								no_candidate	
Latka2021_K23Klebsiella	Klebsiella pneumoniae	KPi8289	"""Klebsiella pneumoniae""[Organism] AND ""KPi8289""[All Fields]"	0								no_candidate	
Latka2021_K23Klebsiella	Klebsiella pneumoniae	KPB2580	"""Klebsiella pneumoniae""[Organism] AND ""KPB2580""[All Fields]"	0								no_candidate	
Singh2025_KpCocktail	Klebsiella pneumoniae	KPCI1	"""Klebsiella pneumoniae""[Organism] AND ""KPCI1""[All Fields]"	0								no_candidate	
Singh2025_KpCocktail	Klebsiella pneumoniae	KPCI2	"""Klebsiella pneumoniae""[Organism] AND ""KPCI2""[All Fields]"	0								no_candidate	
Singh2025_KpCocktail	Klebsiella pneumoniae	KPCI3	"""Klebsiella pneumoniae""[Organism] AND ""KPCI3""[All Fields]"	0								no_candidate	
Singh2025_KpCocktail	Klebsiella pneumoniae	KPCI4	"""Klebsiella pneumoniae""[Organism] AND ""KPCI4""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_4_host	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 4 host""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_7	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 7""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_9	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 9""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_14	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 14""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_16	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 16""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_19	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 19""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_21	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 21""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_22	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 22""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_27	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 27""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_30	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 30""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_33	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 33""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_35	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 35""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_36	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 36""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_37	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 37""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_38	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 38""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_41	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 41""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_43	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 43""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_45	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 45""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_47	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 47""[All Fields]"	0								no_candidate	
